题干,内容
属于女性生殖系统生理的项目，正确的是,A.排卵发生在月经周期第14天 B.月经来潮时基础体温升高0 C.月经期子宫内膜自基底层脱落 D.排卵后的卵泡称为闭锁卵泡 E.28天月经周期第21天为分泌期子宫内膜 正确答案:E
尿毒症患者血清钾7.0mmo，此时最有效的治疗方法是,A.口服钠型阳离子交换树脂 B.进行血液透析 C.输入葡萄糖酸钙 D.输入高渗葡萄糖加胰岛素 E.静点碳酸氢钠 正确答案:B
以下哪项是精神活动异常的判断依据,A.悲观失望 B.哭哭笑笑 C.夸夸其谈 D.表情欣快 E.统一性协调性的破坏 正确答案:E
"为了预防输血不良反应,必须作抗体筛选试验的患者是",A.老年人 B.儿童 C.无输血史者 D.所有输血者 E.有输血史者 正确答案:D
关于腹外疝的疝外被盖的组成成分，下列哪项是错误的:,A.皮肤 B.皮下组织 C.筋膜 D.肌肉 E.壁层腹膜 正确答案:E
颅脑外伤伴意识障碍加深，逐渐出现的一侧瞳孔散大，光反射消失，眼球活动受限，其损伤机制最可能是,A.视神经管骨折损伤视神经 B.颅底骨折损伤动眼神经 C.脑干挫伤出血损伤动眼神经核 D.颞叶钩回疝使动眼神经受压 E.视放射或枕叶黄斑部损伤 正确答案:D
男性，68岁。因“呼吸困难逐渐加重2小时”急诊就诊。既往有慢阻肺病史，未规律用药，过去一年中两次因类似症状住院治疗。查体:T37.5℃℃，P120次/分，R36次/分，BP90/60mmHg，Sp0290%(未吸氧)，神志清楚，双肺呼吸音减低，右肺尤著，左肺散在哮鸣音。给予沙丁胺醇和异丙托溴胺雾化吸入、泼尼松龙静脉输注以及经鼻高流量吸氧后，症状未缓解，此时应首先进行的检查是,A.降钙素原(PCT) B.心电图 C.胸片 D.凝血功能(含D-dimer) E.肺功能 正确答案:C
穿支静脉是,A.下肢静脉与盆腔静脉的交通静脉 B.小腿静脉与大腿静脉的交通静脉 C.慢性静脉疾病时的侧支静脉 D.浅静脉和深静脉的交通静脉 E.曲张的静脉 正确答案:D
以下哪项不是痉挛的特殊表现,A.巴宾斯基(babinski)反射 B.阵挛(clonus) C.去大脑强直(decerebraterigidity) D.折刀样反射(clasp-knifereflex) E.紧张性迷路反射 正确答案:E
严重颅内压增高，除引起脑组织损害外，还可引起全身其他器官的功能障碍。列哪个并发症与颅内压增高本身无直接关联,A.肾衰竭 B.消化道出血 C.肺水肿 D.心率失常 E.血压升高 正确答案:A
对临床诊断困难的急性腹痛病例，可进行,A.选择性血管造影术 B.X线钡餐检查 C.内镜检查 D.放射性核素肝、胆、胰扫描 E.诊断性腹腔穿刺 正确答案:E
乳腺增生病最佳的治疗方法是,A.乳房单纯切除 B.肿块局部切除 C.根治性乳房切除 D.药物治疗 E.放射治疗 正确答案:D
正常人关节腔内的滑液量为,A.不超过5.5ml B.不超过5.0ml C.不超过4.5ml D.不超过3.5ml E.不超过2.5ml 正确答案:D
烧伤患者的现场急救的基本原则不包括,A.尽快终止或脱离致伤源 B.迅速判断伤情 C.立即冷疗 D.就近急救和分类转运专科医院 E.烧伤创面一律暴露治疗 正确答案:E
椎管内阻滞术后止痛最常用的方法是,A.硬膜外腔止痛 B.蛛网膜下腔止痛 C.硬膜下腔止痛 D.骶管止痛 E.椎间孔止痛 正确答案:A
男性，68岁。咳嗽、痰多10余年，近5年活动时憋气，并逐渐加重。近1年上3-4层楼感憋气明显。1周前受凉后咳嗽、咳痰增多，常速步行时感憋气。既往:糖尿病5年，血糖控制良好。3年前体检发现“心脏早搏”，具体不详。吸烟40年，20支/天。为明确诊断，该患者应首先进行的检查是,A.胸片正侧位 B.肺功能 C.超声心动图 D.运动心肺功能 E.血气分析 正确答案:B
按瘤细胞所含激素种类进行功能-形态分类，垂体腺瘤中最常见的是,A.GH细胞腺瘤 B.PRL细胞腺瘤 C.ACTH细胞腺瘤 D.TSH细胞腺瘤 E.GTH细胞腺瘤 正确答案:B
胸骨骨折的部位最常见于,A.邻近胸骨角的胸骨体部 B.胸骨柄与胸骨体连接处 C.胸骨柄近胸锁关节处 D.胸骨体下段 E.胸骨体近剑突处 正确答案:A
胃溃疡最常累及的部位是,A.胃角和胃窦小弯侧 B.胃体大弯 C.胃底 D.胃角和胃窦大弯侧 E.胃体小弯 正确答案:A
下面哪种原因不会引起良性颅内压增高,A.脑脓肿 B.脑蛛网膜炎 C.颅内静脉窦血栓形成 D.维生素A摄入过多 E.中毒性脑病 正确答案:A
不属于卵巢囊肿CT特点的是,A.囊肿边缘光滑 B.囊肿与周围组织结构分界清楚 C.常为多房性，有分隔 D.囊壁厚薄均匀一致 E.囊内容物呈均匀低密度 正确答案:C
下列哪项不是类风湿关节炎预后不良的指标,A.RF滴度高 B.起病年龄晚 C.抗CCP滴度高 D.炎症指标高 E.早期出现骨侵蚀 正确答案:B
有关甲状腺癌以下哪一项描述是正确的:,"A.同位素扫描均为“冷结节"" B.滤泡状癌是几种病理类型中恶性度最高的一种 C.出现可切除的淋巴结转移不影响乳头状癌的预后 D.颈部放射治疗量需大于2000rads才可致甲状腺癌 E.髓样癌的预后最好 正确答案:C"
以下选项为鼻腔最狭窄的部位的是,A.后鼻孔 B.前鼻孔 C.梨状孔 D.嗅裂 E.鼻阈 正确答案:E
下列符合早期胃癌的病变为,A.病变局限于黏膜层 B.病变不超过黏膜下层 C.病变不超过黏膜肌层 D.无淋巴结转移 E.直径不超过2cm，未突破浆膜层 正确答案:B
下列关于痴呆综合征的叙述，不恰当的是,A.常是慢性或进行性的 B.以全面的智能减退为主要临床表现 C.通常病情有昼重夜轻的变化 D.多见于老年人 E.预后差，治疗效果不明显 正确答案:C
关于传染病的概念，说法正确的是,A.由病原微生物(包括病毒、细菌、立克次体、螺旋体等)感染引起的疾病均称为传染病 B.只有造成流行的疾病才被称为传染病 C.传染病与感染性疾病都是由病原体引起的疾病，因此是同一概念 D.感染性疾病不一定有传染性 E.寄生虫感染不属于传染病 正确答案:D
关于骨折的血管并发症，下列表述哪项不对,A.胫骨上段骨折可能伤及胫前或胫后动脉 B.肱骨髁上骨折可伤及肱动脉 C.动脉损伤有破裂、受压、痉挛等情况 D.骨折治疗不当，包扎过紧可造成缺血性肌挛缩 E.怀疑有骨筋膜室综合征时应抬高患肢，越高越好 正确答案:E
"某高血压患者,，急起气促，端坐，躁动不安，双肺满布湿性罗音，最迅速而有效缓解症状的治疗为:",A.吸氧 B.速尿 C.吗啡 D.西地兰 E.氨茶碱 正确答案:C
一名55岁女性因跌倒而导致的膝盖疼痛被送至医院。影像学检查确认为胫骨平台骨折。关于胫骨平台骨折的治疗，以下哪项是不正确的?,A.非手术治疗适用于无位移的骨折 B.内固定术是一种常用的手术治疗方法 C.所有胫骨平台骨折都必须通过手术治疗 D.关节镜下辅助技术可以用于某些骨折的治疗 E.保守治疗可能包括石膏固定和限制负重 正确答案:C
下列哪种属于精神活性物质,A.咖啡 B.葡萄酒 C.茶 D.氯胺酮 E.以上都是 正确答案:E
肾癌淋巴结转移最先到何处,A.主动旁淋巴结 B.腔静脉旁淋巴结 C.肾蒂淋巴结 D.腰淋巴结 E.髂淋巴结 正确答案:C
胞浆型抗中性粒细胞抗体最常见的靶抗原是,A.髓过氧化物酶 B.内皮素 C.过氧化物酶 D.乳铁蛋白 E.蛋白酶3 正确答案:E
患者男，65岁。头痛15 天，胡言乱语3 天入院。否认高血压、糖尿病及肝炎、肾病史。1个月前曾有1次轻微头部外伤史。查体:T36.8℃℃，P67次/分，R14次/分，BP155/90 mmHg。烦燥不安，刺痛睁眼，言语含混不清，刺痛肢体可定位。左侧瞳孔2mm，右侧3mm，左侧肢体活动减少，肌力IV级，右侧肌力V级。对治疗最具指导意义的检查是,A.头颅CT/MRI B.脑电图 C.腰椎穿刺 D.血沉 E.TCD 正确答案:A
男性，70岁。咳嗽、咳痰、活动时气短10年，双下肢水肿3年。3天来咳嗽、咳黄痰、呼吸困难加重，精神差，伴腹胀、食欲减退。既往:吸烟50年，20支/日。否认高血压、冠心病、糖尿病病史。查体:T37.6℃℃，P92次/分，R25次/分，神志清楚，颈静脉充盈，双肺呼吸音低，可闻及散在干湿啰音，双下肢可凹性水肿。血常规WBC13.6x109/L，N0.88。血气分析(鼻导管2L/min):pH7.36，PaCO265mmHgPaO262mmHg。此时患者最重要的治疗是,A.无创机械通气 B.经鼻高流量吸氧 C.小剂量利尿 D.抗感染治疗 E.抗凝治疗 正确答案:D
男，58岁。活动后心悸、呼吸困难5年，逐渐加重，近期平地步行100米左右即可诱发症状发作。查体:BP100/65mmHg，双侧肺底可闻及少量细湿音，心尖动位于左第6肋间锁骨中线外3cm，心尖部闻及3/6级收缩期吹风样杂音。该患者发病最主要的病生理机制是,A.左室压力负荷过重 B.左室容量负荷过重 C.左室充盈受阻 D.心肌血液灌注减少 E.左右心室活动不同步 正确答案:B
"患者,男性，52岁。绞窄性肠梗阻体温骤升至40℃℃，寒颤，血压90/52mmHg脉搏102次/分，呼吸25次/分，皮肤湿冷。既往高血压病史，平时血压140-150/80-90mmHg。应考虑",A.低血容量性休克 B.感染性休克 C.神经源性休克 D.过敏性休克 E.心源性休克 正确答案:B
急性肾盂肾炎不应出现,A.血象白细胞升高 B.脓尿 C.大量蛋白尿 D.血尿 E.管型尿 正确答案:C
患者，男性，62岁。进行性张口闲难、左侧面部麻木1个月，查体发现右侧上下肢痛觉明显减退。该患者感觉障碍的类型是,A.皮质型感觉障碍 B.内囊偏身型感觉障碍 C.脑干交叉型感觉障碍 D.脊髓横贯型感觉障碍 E.神经干型感觉障碍 正确答案:C
女性，20岁，查体发现双侧甲状腺对称性肿大，质地软，无结节，无不适，应如何处理:,A.手术行双侧甲状腺部分切除术 B.手术行双侧甲状腺切除术 C.穿刺后决定治疗 D.可给予甲状腺素 E.放射性碘治疗 正确答案:D
下列哪项不是前列腺增生的临床症状,A.尿潴留 B.尿失禁 C.尿后滴沥 D.排尿等待 E.以上都是前列腺增生的临床症状 正确答案:E
符合原发性不孕诊断的项目为,A.结婚3年，未避孕1年未孕 B.结婚5年，未避孕自然流产一次，至今未孕 C.结婚3年，安全期避孕，未孕 D.结婚5年，避孕套避孕，近2年未避孕未孕 E.结婚5年，3年前人工流产，近2年未避孕未孕 正确答案:A
确诊乳腺肿块最可靠的方法是,A.红外线 B.B超 C.钼靶 D.MRI E.活检病理 正确答案:E
需行气管插管和胸腔闭式引流术的是,A.单纯性肋骨骨折 B.多发性肋骨骨折 C.多发性肋骨骨折伴血气胸 D.开放性肋骨骨折 E.自发性气胸 正确答案:C
肺爆震伤患者胸部X线的特征性表现为,A.纵膈气肿 B.双肺絮状斑片影 C.肺部“哑铃”状高密度影 D.肺门处““蝴蝶”或“蝙蝠”样斑片影 E.气胸、血胸 正确答案:D
烧伤严重程度的分类，以下正确的是，,A.烧伤总面积在20%以下的I度烧伤为轻度烧伤 B.烧伤总面积在31%~50%之间，或I度面积在10%以下的烧伤为中度烧伤 C.烧伤总面积在31%~50%之间，或Ш度面积在21%~30%之间，或烧伤面积虽不足31%，但有以下情况之一者:伴有严重复合伤;中、重度吸入性损伤，为重度烧伤 D.烧伤总面积大于50%，或I度面积大于20%，为特重度烧伤 E.烧伤总面积大于80%，或I度面积大于50%，为特重度烧伤 正确答案:D
下列哪项不是骨筋膜室综合征的表现?,A.苍白 B.感觉异常 C.疼痛 D.瘫痪 E.脉搏急促 正确答案:E
以下各项是对心理治疗专业人员的素质要求，除外,A.理论知识和实践经验 B.健康的心理 C.年长于来访者 D.职业道德 E.责任感 正确答案:C
在治疗颅内压增高的治疗原则中，下面哪一条是错误的,A.加强生命体征监测 B.应尽早去除引起颅内压增高的原因 C.根据颅内压增高的程度，选用适当的药物进行脱水治疗 D.脱水药物难以控制效的严重颅内压增高，可行腰椎穿刺脑脊液持续外引流 E.亚低温、激素和巴比妥昏迷治疗有助于减轻脑水肿和降低颅内压 正确答案:D
CPR的第二阶段ABCD，即高级生命支持ACLS的流程是指:,A.打开气道→正压通气一胸外按压一除颤 B.气管插管→正压通气→心律血压药物一鉴别诊断 C.气管插管→正压通气一胸外按压一除颤 D.打开气道一气管插管→正压通气一除颤 E.气管插管→正压通气一除颤→心血管药物应用 正确答案:B
速度最快的临时起搏是,A.经皮临时心脏起搏 B.经胸壁穿刺起搏 C.经食管临时起搏 D.经锁骨下静脉起搏 E.经右侧颈内静脉起搏 正确答案:A
女性，40岁，因右侧甲状腺单发肿物施行甲状腺肿物摘除术，术中探查颈部淋巴结无肿大，病理报告为甲状腺乳头状腺癌，术后5天拆线，拆线后还应对病人作如下哪种处理:,A.口服碘剂 B.口服甲状腺片 C.再一次手术清除患侧淋巴结 D.再一次手术将患侧腺体连同峡部全切除加长期口服甲状腺素片 E.颈部放射治疗 正确答案:D
影响乳腺癌预后的最主要因素,A.病人年龄 B.是否绝经 C.手术切除范围 D.癌肿本身生物学特性 E.肿块大小 正确答案:D
有关造成膝关节半月板损伤的必要因素，下列哪项是错误的,A.膝的内收和外展 B.膝的前后移动 C.膝的旋转 D.膝的挤压 E.膝的半屈 正确答案:B
有关婚姻治疗的叙述，不恰当的是,A.可用于治疗婚姻危机 B.目的是改善夫妻关系 C.家庭治疗的一种 D.有两种常用的治疗类型 E.夫妻双方都是治疗的对象 正确答案:A
患者，男，56岁。4年来常有反酸、胃灼热、胸骨后有烧灼感，近3天上述症状加重，并有黑便4次。既往有食管裂孔疝。该患者的病因可能为,A.食管胃底静脉曲张破裂出血 B.急性胃炎出血 C.反流性食管炎出血 D.食管贲门黏膜撕裂综合征 E.消化性溃疡出血 正确答案:C
海绵窦综合征表现为,A.第III、IV、V1、VI脑神经受累 B.第I、IV、VI脑神经受累 C.第I、I、IV、、VI脑神经受累 D.第II、II、IV、VI脑神经受累 E.以上都不是 正确答案:A
下列关于肝硬化腹水说法正确的是,A.腹腔穿刺放腹水是治疗肝硬化腹水最主要的治疗方式 B.初发肝硬化腹水可先单独给予呋塞米治疗 C.肝硬化腹水患者均需要严格限制水摄入 D.SAAG> 11g/L E.腹水多为渗出液，黎氏试验阳性 正确答案:D
乳腺疡TNM分期中T2肿瘤直径不超过,A.lcm  B.2cm C.3cm D.4cm E.5cm 正确答案:E
有助于诊断急性脊髓炎的临床表现中，下述哪一项最不重要,A.病理反射阳性 B.肢体瘫痪 C.括约肌障碍 D.急性感染的临床表现 E.感觉障碍 正确答案:D
痉挛的治疗不包括,A.适当的姿势和体位 B.去除疼痛等诱因 C.抑制异常反射 D.对症药物治疗 E.切除痉挛组织 正确答案:E
"患者，男性，70岁，体重50kg,行胆囊切除术，术中给予咪达唑仑3mg，顺苯磺酸阿曲库铵8mg,舒芬太尼40μg，异丙酚70mg，，气管插管后，瑞芬太尼和异丙酚静脉持续泵入，维持生命体征稳定，手术持续1小时，停止静脉泵入药30分钟后，仍未恢复自主呼吸，查患者瞳孔呈针尖样，考虑采取()进行拮抗",A.纳洛酮  B.地佐辛 C.喷他佐辛  D.曲马多 E.烯丙吗啡  正确答案:A
女，33岁，左乳肿块2个月。手术中切除活检:见肿瘤剖面较多乳腺导管的断端有黄白色膏样物质溢出。显微镜下:癌细胞分布于乳腺导管内，未突破基底膜并有坏死物质积聚于乳腺导管内。病理诊断应是,A.乳腺浸润性导管癌  B.湿疹样乳腺癌 C.乳腺粉刺癌  D.乳腺黏液癌 E.乳腺浸润性小叶癌  正确答案:C
视神经的血供来源于,A.大脑前动脉  B.大脑中动脉  C.眼动脉  D.脉络膜前动脉  E.以上都不对  正确答案:C
无功能垂体腺瘤患者分泌可能增多的激素是,A.IGF-1  B.TSH  C.PRL  D.LH、FSH  E.ACTH  正确答案:C
关于肋骨骨折的描述，不恰当的是,A.第4~7肋骨长而固定，较易发生骨折  B.连枷胸反常呼吸运动可采用正压机械通气治疗  C.血胸或气胸是肋骨骨折常见的伴发病  D.反常呼吸运动可引起纵膈扑动  E.直接暴力所致肋骨骨折多不引起肺损伤  正确答案:E
 45岁男性，1小时前家人发现其躺在卫生间，无意识，有自主呼吸。既往未做过健康体检，家人诉:患者平时身体状况较好，不服药。查体:体温37.0℃，血压:130/90mmHg，脉搏80次/分，呼吸18次/分，刺痛不能睁眼，仅能发音，失语，刺痛时肢体能回缩，枕部有皮下出血点，左肘部有皮肤挫伤。下列哪项是昏迷的可能原因,A.创伤性疾病  B.代谢性疾病 C.血管性疾病 D.中毒及感染性疾病 E.以上都是 正确答案:E
 45岁男性，双侧乳腺增大，镜下见乳腺导管增生，导管周围为黏液性间质，小叶结构很少。应诊断为,A.纤维腺瘤  B.男性乳腺发育 C.单纯性腺病 D.管状腺瘤 E.普通导管上皮增生 正确答案:B
妄想最具特征性的表现是,A.内容离奇  B.逻辑倒错  C.是病态的  D.错误的判断  E.无现实基础但深信不疑  正确答案:E
危重患者病史来源包括,A.救护车上的医务人员  B.曾参与诊治医生  C.家属  D.病历及护理记录  E.以上都对  正确答案:E
包扎伤眼符合以下哪项的治疗,A.角膜裂伤8mm，前房消失 B.角膜裂伤3mm，无房水渗漏、无虹膜嵌顿  C.角膜裂伤2mm，有异物嵌于伤口内、前房正常 D.异物嵌于角膜缘后4mm的巩膜处 E.角膜缘后8mm巩膜穿通伤  正确答案:B
甲状腺癌最多见的病理类型是,A.滤泡状腺癌  B.低分化癌  C.未分化癌  D.髓样癌  E.滤泡状腺癌+髓样癌  正确答案:B
下列哪项指标提示胸腔积液可能为渗出液,A.胸水细胞总数500/mm3  B.胸水白蛋白18g/L  C.胸水LDH 320U/L  D.胸水总蛋白25g/L E.胸水总蛋白/血清总蛋白 0.2  正确答案:C
A.切开复位内固定  B.手法复位，夹板固定  C.手法复位，髋人字石膏固定  D.皮牵引加小夹板固定  E.卧床制动休息!  正确答案:A,A.切开复位内固定  B.手法复位，夹板固定  C.手法复位，髋人字石膏固定  D.皮牵引加小夹板固定  E.卧床制动休息!  正确答案:A
成人新鲜股骨干闭合性骨折患者，治疗时首选,A.切开复位内固定  B.手法复位，夹板固定  C.手法复位，髋人字石膏固定  D.皮牵引加小夹板固定  E.卧床制动休息!  正确答案:A
有关三环类抗抑郁药(TCAs)，下列说法不正确的是,A.适用于治疗各类以抑郁症状为主的精神障碍  B.起效时间为14~28天  C.严重的肝肾疾患、粒细胞减少、青光眼等禁用  D.超量服用或误服可发生严重的毒性反应，危及生命，死亡率高  E.卡马西平、酒精、苯妥英钠等抑制TCAs的代谢，使其血浆浓度上升  正确答案:E
一老年男性患者，突然意识丧失，血压测不到，颈动脉搏动消失，心电图监测为心室颤动。此时应采用的最有效的治疗是,A.心脏按压  B.人工呼吸  C.非同步直流电复律  D.静注利多卡因  E.心腔内注射肾上腺素  正确答案:C
休克代偿期的临床表现是,A.血压稍低、脉搏增快、脉压缩小  B.血压正常、脉博无变化、脉压缩小  C.血压稍低、脉搏增快、脉压正常  D.血压稍升高、脉博无变化、脉压缩小  E.血压稍升高或正常、脉搏增快、脉压缩小  正确答案:E
患者，女，43岁。白带增多1年，色黄，无异味，偶有接触性出血，伴腰骶部疼痛。妇科检查发现宫颈大小正常，中度糜烂，颗粒状，无举痛，盆腔正常。初步检查应选,A.阴道镜下多点活检  B.碘试验  C.诊断性刮宫  D.宫颈刮片细胞学检查  E.宫腔镜检  正确答案:D
为了解妊娠38周孕妇的胎盘功能，应测定孕妇的,A.羊水中卵磷脂/鞘磷脂比值  B.血中甲胎蛋白值  C.血或尿中雌三醇  D.羊水中肌酐值  E.血或尿中hCG值  正确答案:C
 动眼神经损伤无以下哪项表现,A.瞳孔散大  B.眼睑下垂  C.眼球向下活动受限  D.眼球向外活动受限  E.眼球向上活动受限!  正确答案:D
乳腺癌患者仅发现腰椎转移，其转移途径是!,A.门静脉系统  B.体循环  C.肺循环  D.椎旁静脉系统  E.胸导管  正确答案:D
属于卵巢甾体激素的项目，错误的是,A.为类固醇激素  B.雌激素、孕激素、雄激素、糖皮质激素均属甾体激素  C.雌激素是由18个碳原子组成  D.孕烯醇酮是合成所有甾体激素的前体物质  E.肝脏降解，经肾脏排泄  正确答案:B
肾绞痛的特点是,A.持续性胀痛  B.突发性剧烈绞痛并沿输尿管向下腹部放射  C.无任何其他伴发症状  D.疼痛持续时间长，不易缓解  E.泌尿系结核的典型临床表现  正确答案:B
xggz,null
